,Ariads,Aridiv,Bouhir,Bousco,Crudiv,Cypses,Dalhum,Eupmen,Evoser,Flopur,Helfol,Helglo,Hetpin,Mickun,Milbif,Muhper,Muhpha,Muhrig,Oxalun,Pheoli,Planiv,Por pil,Rictri,Sanpro,Sedote,Spoten,Stedul,Steeph,Tagmic,Thyaur,Tricor,Tripur,Trispi,Boucho,Boupol,Hilsen,Resto
Ariads,2.25E+000,,,,-1.31E+000,4.86E-001,,,,,,,,-3.03E+001,,,,,-2.29E+001,,,,-3.13E+001,-3.11E-001,,,,-4.06E+001,-3.39E+001,,,,-3.85E-001,-2.06E+001,,,-3.27E+001
Aridiv,,3.73529849,,,,,,,,,,,,,,,,0.42012426,,,,,,,,,,,,,,,,,,,-0.30003638
Bouhir,,,0.74879346,,-1.53916989,,,,,,,,,,,,,,-27.80286059,,,,,,,,,,,,,,,,,0.08886966,-37.53478382
Bousco,,-1.16981876,,3.58001214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.22002818,-5.01523287
Crudiv,-0.67860926,,1.86395783,,-0.30901006,,,,,-0.22457993,,,-1.7790325,,-0.70301268,,,,,,,,,,,,,-0.86460151,,,-49.1498761,,,3.46333334,,0.82008607,-49.67015841
Cypses,,,,,,1.09858236,1.15162264,,,-0.54452455,,,,,,0.65387882,,,0.29943571,-0.71317226,,,,,,-0.14973097,,,,-1.35000801,-0.31734661,-0.56742096,,0.03258847,,,-3.20570156
Dalhum,0.78889626,,,,,,0.08920082,,,,,,,-1.48299906,,,-0.44452818,,,,0.53838139,,,,,,,,,,,,-0.41011084,0.2995521,,,-1.870975
Eupmen,,,,,0.07579187,,-1.35856769,2.18738732,,,,,,,,,,,,,-1.1540129,,,,,,,1.490777,1.37416479,,-0.61220221,,,,,,-1.94695458
Evoser,,,,,,,,,1.2202801,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.18484
Flopur,,,,,-0.06246349,,,,,0.95112351,,,,-50.83849197,,,,,,,-2.32345347,,,,,,,-51.13837931,,-2.84793529,,,,-45.87315926,-44.86146771,,-43.10041434
Helfol,,,,,,,,,,,0.83902236,,,,,,,,,,,,,,,,,,,,,,,,,-0.19298536,-1.44177708
Helglo,,,,,,4.24559879,,,,,,-1.55010961,,,,,,,-0.41090761,,,,,,,,,,,,,,,,,,0.19753988
Hetpin,,,-0.19655263,,,-33.68070906,1.34814946,,,-34.6127587,,1.09849958,0.3830829,,,0.24452954,,,-26.18336846,,,,,,,,,-0.93149515,-28.52558541,-4.00844149,-8.39861827,,,-0.14332581,-19.88053059,,-22.32268605
Mickun,-18.44106576,,-19.61537817,,,-9.709390082,,,,,,,,-0.28599902,,,,,-16.51653047,,-20.24130087,,,,,-20.21040986,,,,-20.68589593,,,-21.11970996,-19.37212393,,,-19.93756908
Milbif,,,,,,,,,,,,,,,2.06979687,,,,,,,,,,,,,,,,,,,-0.74836919,,,-5.72180959
Muhper,,,,,,,,,,,,,,,,1.12456705,,,-0.0652738,,,,,,,-24.83585914,,,,,,,,,,,-3.86071652
Muhpha,,,,,,,,,,,,,,,,,2.01493295,,,,,,,,,,,,,,,,,,,,-4.35010715
Muhrig,,,,,,,,,,,,,,,,,,-0.55218006,,,,,,,,,,,,,,,,,,,0.6583771
Oxalun,,,,,,,,0.4823368,,,,,,0.6686027,,1.05248536,-0.8111657,,1.7832688,,0.71265131,,,,,,,,,,0.84140864,,,,,-0.14199971,-0.92777584
Pheoli,,,,,,-0.449459289,,,,,,,,,,,,,,0.877807225,-0.670270461,-0.471731096,,,,,,,,,,,,,-0.471275328,,0.162680893
Planiv,,,,,-61.23227502,,,,,-1.97343573,,,,-86.30906613,,,,,,,-0.89548051,,-75.2352159,,,,,-1.68742191,,-2.00015974,,,-1.26493328,-2.69997869,-52.48069491,,-77.64673205
Porpil,,,,,,,,,,,,,,,,,,,,,,0.348071518,,,,,,,,,,,,,,,-2.576014229
Rictri,,,,,,,,,,,,,,,,,,,,,,,0.53833526,,,,0.33365534,-3.37829823,,,,,,-21.5053914,,-15.77459954,-9.31244617
Sanpro,,,,,-1.251526937,,,,,,,,,,,,,,,,,,,1.244575851,,,,,,,-1.395174199,,,,1.240818542,,-41.79609049
Sedote,,,,,,,,,,,,,,,,,,,,,,,,,2.70939964,,,,,,,,,,,,-0.11278806
Spoten,,,,,-86.9494101,,,,,,,,,,,,,,,,-132.7688086,-1.32057614,,-2.33608622,,1.08942375,,-1.33326296,,-1.16677282,,,,,,,-127.692722
Stedul,,,,,,,,,,,,,,,,,-30.35422151,0.20402163,,,,,,,,,1.59705399,,,,,,,,,,-0.51884398
Steeph,,,,,-0.30177201,,12.84198644,1.658015614,,,1.253588794,,,-0.361505049,1.749603658,1.430131532,-24.58007747,,-29.68881738,,-24.83537904,,-2.474859353,,,,,1.037598398,-28.4243441,,-43.40853264,-0.991591538,-2.77982818,-28.59997997,,1.770959209,-28.11763568
Tagmic,,,-18.81030434,,,-21.90413438,3.17848985,,,,,,,,,,,-1.28312128,-17.13819844,,0.08228283,,-19.01024162,,,,,0.33291332,-0.06662818,,,,-1.10952686,-13.78889067,,,-16.42392364
Thyaur,,,,,-0.44917647,,-0.94787224,,,,,,,-22.26059511,,,,,-1.66880972,-2.40915681,-23.36657414,,,,,-24.57103433,,-0.94106368,0.75090044,0.43132345,1.59317096,,10.25357479,,-18.20195933,,-24.01100552
Tricor,,,1.61143845,,,,,,,,,,,,,,,,,,,,,,,,,1.52393998,,,-0.10576354,,-55.79290391,,,,-55.0001959
Tripur,,,,,,,,,,1.21E+000,,,,,,,,,7.64E-001,,7.98E-001,,,,,,,-1.14E+002,,,,-2.32E-001,,,,,2.25E-001
Trispi,-1.38618248,,,,,,0.40287264,,,,,,,-0.32345379,,,,,,,0.45199488,,,,,-0.04638722,,,,,0.90647628,,1.82858329,0.91632562,,,-0.10261038
Boucho,0.257391682,0.81443306,0.393825266,,-0.721835955,0.534159674,,,,-0.78010894,,,,,,,0.104814675,-0.032791948,-0.197693466,,,,,,,,,0.391351106,,,0.238077396,,,-0.793837088,0.658802208,,-1.187269052
Boupol,0.399877555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.681754685,0.779170569,,-1.127006825
Hilcen,,,,,,,0.909363787,,,,0.958592568,,,,,,,,,,1.070918688,,,,,,,,,,,,,,,1.524479208,-0.823240467
